title,description,start_date,start_time,end_date,end_time,last_updated,status,tracking_number,tracking_link,last_tracked,service,tp_id,state_abbrievation
ALHB916 KC - UPS,"Tracking Number: 1Z7EX8470380129077

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1Z7EX8470380129077&lang=en",2024-09-19T10:30:00Z,2024-09-19T10:30:00Z,2024-09-19T13:30:00Z,2024-09-19T13:30:00Z,2024-09-19T21:29:08.020Z,cancelled,1Z7EX8470380129077,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1Z7EX8470380129077&lang=en,2024-09-19T21:29:08.020Z,UPS,ALHB916,
LA913 (Pepe) - UPS,"Tracking Number: 1ZC71G770308077869

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770308077869&lang=en",2024-09-19T11:45:00Z,2024-09-19T11:45:00Z,2024-09-19T15:45:00Z,2024-09-19T15:45:00Z,2024-09-19T21:29:08.020Z,cancelled,1ZC71G770308077869,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770308077869&lang=en,2024-09-19T21:29:08.020Z,UPS,LA913,
VA912 Spoob - UPS,"Tracking Number: 1ZGW61220320044402

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220320044402&lang=en",2024-09-19'T'00:00:00.000'Z',2024-09-19,2024-09-20'T'00:00:00.000'Z',2024-09-20,2024-09-19T21:29:08.020Z,cancelled,1ZGW61220320044402,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220320044402&lang=en,2024-09-19T21:29:08.020Z,UPS,VA912,
DC913 (BCH #4 B10) - FedEx,"Tracking Number: 778580424830

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=778580424830&lang=en",2024-09-19'T'00:00:00.000'Z',2024-09-19,2024-09-20'T'00:00:00.000'Z',2024-09-20,2024-09-19T21:29:08.020Z,cancelled,7.7858E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=778580424830&lang=en,2024-09-19T21:29:08.020Z,FedEx,DC913,
NC916#2 Erin - UPS,"Tracking Number: 1ZC71G770315865477

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770315865477&lang=en",2024-09-20T13:15:00Z,2024-09-20T13:15:00Z,2024-09-20T15:15:00Z,2024-09-20T15:15:00Z,2024-09-20T23:29:08.782Z,cancelled,1ZC71G770315865477,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770315865477&lang=en,2024-09-20T23:29:08.782Z,UPS,NC916,
NC916#1 Erin - UPS,"Tracking Number: 1ZC71G770321087118

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770321087118&lang=en",2024-09-20T11:45:00Z,2024-09-20T11:45:00Z,2024-09-20T15:45:00Z,2024-09-20T15:45:00Z,2024-09-20T23:29:08.782Z,cancelled,1ZC71G770321087118,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770321087118&lang=en,2024-09-20T23:29:08.782Z,UPS,NC916,
TX917 Caroline  - UPS,"Tracking Number: 1ZC71G770335937129

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770335937129&lang=en",2024-09-20T10:45:00Z,2024-09-20T10:45:00Z,2024-09-20T14:45:00Z,2024-09-20T14:45:00Z,2024-09-20T23:29:08.782Z,cancelled,1ZC71G770335937129,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770335937129&lang=en,2024-09-20T23:29:08.782Z,UPS,TX917,
DC912#3 BCH  - UPS,"Tracking Number: 1ZC71G770324641101

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770324641101&lang=en",2024-09-20T13:15:00Z,2024-09-20T13:15:00Z,2024-09-20T17:15:00Z,2024-09-20T17:15:00Z,2024-09-23T20:29:07.988Z,cancelled,1ZC71G770324641101,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770324641101&lang=en,2024-09-23T20:29:07.988Z,UPS,DC912,
PA917 Afriking - UPS,"Tracking Number: 1ZC71G770302414086

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770302414086&lang=en",2024-09-23T13:00:00Z,2024-09-23T13:00:00Z,2024-09-23T17:00:00Z,2024-09-23T17:00:00Z,2024-09-25T05:29:08.208Z,cancelled,1ZC71G770302414086,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770302414086&lang=en,2024-09-25T05:29:08.208Z,UPS,PA917,
,,,,,,,,,,,,,
